area_sqft,bedrooms,bathrooms,age,parking,location,price
1443,3,2,16,1,Chennai,16664698.0
1625,2,1,0,1,Delhi,21120997.0
2544,5,4,3,3,Pune,26501487.0
2675,5,5,6,1,Chennai,27229449.0
1413,3,2,11,0,Bengaluru,18992414.0
1646,4,3,1,0,Pune,20571678.0
2672,5,5,7,2,Hyderabad,26814686.0
2426,4,3,11,2,Delhi,27112782.0
1925,4,3,30,2,Bengaluru,21058146.0
2163,3,2,8,1,Bengaluru,23637630.0
2667,4,3,8,0,Bengaluru,27397747.0
692,1,1,20,1,Hyderabad,9764106.0
2998,6,5,28,3,Chennai,28400052.0
1763,4,3,26,3,Delhi,20985601.0
1170,1,1,18,1,Hyderabad,13227125.0
2077,3,2,26,3,Delhi,22852487.0
807,1,1,17,1,Pune,11647677.0
887,1,1,16,0,Pune,12675944.0
1632,2,1,7,1,Bengaluru,19370914.0
2623,6,5,15,2,Hyderabad,25198699.0
3127,6,5,19,1,Chennai,29775090.0
1846,4,3,15,0,Pune,21373224.0
1700,2,2,6,3,Chennai,19045217.0
2508,6,5,28,1,Chennai,24565595.0
951,3,2,9,3,Hyderabad,14569580.0
2440,5,4,6,1,Hyderabad,24012039.0
2981,5,4,23,2,Chennai,28489448.0
2683,5,4,22,2,Bengaluru,28205020.0
2639,6,5,0,1,Hyderabad,28552860.0
2260,5,5,4,3,Chennai,25136064.0
2140,4,3,26,2,Hyderabad,20624873.0
2231,3,2,22,0,Chennai,21526930.0
1637,3,2,12,3,Delhi,22210996.0
1727,2,1,3,0,Chennai,19281626.0
3200,6,5,8,3,Delhi,33774959.0
2352,4,4,12,1,Hyderabad,24377148.0
802,3,2,19,1,Chennai,11185402.0
2853,6,5,15,3,Chennai,28834253.0
1754,4,3,23,2,Pune,19355427.0
2882,7,5,5,1,Hyderabad,29111659.0
1451,4,4,7,3,Chennai,19588067.0
1171,2,1,2,1,Chennai,15399393.0
2876,5,4,7,2,Chennai,28746438.0
682,2,1,13,1,Pune,11430077.0
1706,3,2,15,2,Delhi,21453028.0
2661,5,4,8,1,Pune,27404202.0
2237,5,4,30,2,Hyderabad,22267276.0
2538,6,5,2,3,Delhi,30734282.0
2517,6,5,25,0,Bengaluru,26954111.0
3393,6,5,22,3,Hyderabad,31615884.0
2858,5,4,25,1,Bengaluru,28081532.0
1844,4,4,8,3,Hyderabad,20947553.0
1007,1,1,16,1,Pune,13025104.0
604,1,1,9,3,Chennai,11837951.0
1895,4,3,16,1,Delhi,22981003.0
3486,7,5,0,1,Pune,36110465.0
3362,7,5,8,1,Pune,33632686.0
739,1,1,13,2,Pune,11631018.0
1411,2,1,23,0,Bengaluru,16067212.0
1394,3,2,7,2,Chennai,17400043.0
1046,3,3,5,1,Pune,15287504.0
3036,6,5,1,1,Hyderabad,30692423.0
3041,6,5,1,0,Bengaluru,31338981.0
1886,3,2,29,1,Chennai,19092909.0
1381,3,3,29,3,Hyderabad,15002022.0
2131,4,3,5,0,Hyderabad,23045457.0
920,2,1,11,3,Hyderabad,12048185.0
2157,4,3,26,3,Hyderabad,20804525.0
801,3,2,11,3,Bengaluru,14493094.0
2543,4,4,13,1,Pune,26471856.0
766,3,2,14,0,Hyderabad,11782454.0
3080,6,5,8,2,Delhi,33988501.0
778,2,2,22,2,Chennai,11302349.0
3039,5,4,26,1,Hyderabad,28057854.0
2546,6,5,25,2,Pune,26264657.0
2633,5,4,25,2,Bengaluru,26679498.0
3087,6,5,27,2,Pune,28931186.0
923,2,1,24,1,Bengaluru,13985646.0
2270,4,4,1,3,Delhi,27120599.0
2347,4,3,8,0,Bengaluru,25353616.0
994,3,2,22,3,Bengaluru,15172478.0
3140,6,5,17,0,Chennai,30396718.0
1803,4,4,8,2,Chennai,21034537.0
1613,3,2,7,1,Chennai,18302171.0
2968,6,5,2,3,Chennai,31246269.0
1547,2,2,14,0,Hyderabad,16367283.0
618,2,1,26,3,Chennai,10420607.0
1088,1,1,19,1,Hyderabad,12446608.0
2124,4,3,19,2,Hyderabad,21885994.0
3139,6,5,1,2,Chennai,32088782.0
1179,1,1,8,0,Delhi,16620097.0
646,1,1,21,2,Bengaluru,10368448.0
3143,6,5,6,0,Pune,31216897.0
1015,3,3,17,1,Delhi,16593753.0
973,2,1,22,2,Pune,13744785.0
2311,4,3,23,2,Pune,23156694.0
2305,4,3,20,1,Pune,23216070.0
624,2,1,13,0,Hyderabad,9851765.0
2263,5,4,24,1,Bengaluru,25059979.0
3224,7,5,18,2,Delhi,33754936.0
1303,3,2,9,1,Delhi,19027438.0
2171,5,4,9,1,Hyderabad,23345798.0
2577,5,4,19,3,Hyderabad,25854124.0
1256,3,3,12,1,Pune,16270047.0
1349,3,2,12,1,Pune,16788240.0
1388,2,2,26,0,Chennai,15002119.0
1082,3,3,14,2,Pune,15397588.0
2194,4,3,16,3,Bengaluru,24614569.0
695,1,1,15,3,Bengaluru,11851691.0
2477,5,4,12,0,Hyderabad,24948174.0
1126,2,1,11,0,Pune,13897731.0
766,2,1,29,2,Delhi,13009045.0
927,1,1,28,3,Bengaluru,13028379.0
3115,5,4,4,3,Chennai,30657475.0
1276,3,2,26,2,Delhi,17425413.0
3113,6,5,4,2,Delhi,33440709.0
2566,5,5,8,1,Chennai,26407588.0
2252,5,5,29,2,Chennai,23127499.0
2143,4,3,3,0,Chennai,23596389.0
2735,4,3,17,3,Chennai,26071575.0
1684,4,3,18,1,Chennai,18805810.0
1542,3,3,23,0,Chennai,17033018.0
2713,5,4,20,2,Hyderabad,25888095.0
1791,5,4,16,2,Hyderabad,19907607.0
1140,3,2,19,0,Hyderabad,14409610.0
1844,3,3,11,1,Pune,20792851.0
2990,6,5,4,1,Chennai,29851009.0
1151,1,1,22,1,Pune,13082907.0
992,1,1,4,2,Pune,14741025.0
829,2,2,20,3,Delhi,13518291.0
2720,6,5,5,0,Hyderabad,27834683.0
1360,3,2,1,0,Hyderabad,16892614.0
3109,6,5,13,1,Delhi,32255807.0
3227,7,5,5,2,Hyderabad,31512022.0
1829,3,3,25,3,Delhi,22542273.0
2505,4,4,20,3,Bengaluru,26260970.0
1525,2,1,7,0,Hyderabad,16156586.0
3447,7,5,1,2,Delhi,37390380.0
3382,7,5,25,2,Chennai,30779870.0
1488,2,2,0,1,Chennai,16943516.0
1567,3,2,23,2,Bengaluru,18901136.0
1579,4,4,29,3,Pune,18088341.0
2773,5,4,13,1,Delhi,30395427.0
2203,3,3,29,1,Bengaluru,21705031.0
734,1,1,3,1,Chennai,12749861.0
726,1,1,22,0,Hyderabad,9429122.0
791,1,1,24,2,Bengaluru,12522602.0
3320,6,5,30,3,Hyderabad,29076822.0
1609,3,2,3,0,Hyderabad,19333132.0
3197,5,5,20,2,Pune,29995638.0
1009,2,1,25,1,Chennai,12067541.0
685,1,1,29,2,Hyderabad,9478733.0
2107,4,4,16,3,Chennai,22403132.0
2291,4,3,16,0,Chennai,22766625.0
2520,4,4,18,1,Hyderabad,23772942.0
2386,4,4,6,2,Hyderabad,24343306.0
617,1,1,3,3,Bengaluru,13736302.0
2710,5,5,30,1,Chennai,25457712.0
1479,3,2,5,0,Hyderabad,15729573.0
2898,5,5,10,2,Hyderabad,28390684.0
2243,5,5,2,3,Hyderabad,24644825.0
2353,5,4,28,1,Pune,23960691.0
1119,1,1,18,2,Delhi,16352778.0
3311,7,5,14,3,Chennai,33098539.0
2972,6,5,10,3,Bengaluru,31063957.0
3480,7,5,4,1,Chennai,33920913.0
3069,6,5,7,2,Bengaluru,32110566.0
1016,2,2,3,1,Pune,16357214.0
1218,2,1,23,2,Pune,14471132.0
1037,2,1,28,3,Pune,13298356.0
738,1,1,27,3,Bengaluru,10999649.0
2497,4,3,8,3,Hyderabad,24948338.0
1592,4,4,18,3,Bengaluru,20109392.0
3228,6,5,5,0,Pune,31399644.0
2371,5,4,20,0,Pune,24335642.0
3178,6,5,27,3,Pune,30771916.0
2464,4,4,27,3,Delhi,25803811.0
1349,3,2,12,3,Hyderabad,15299734.0
756,2,2,6,1,Bengaluru,13924847.0
2953,7,5,6,3,Delhi,33166692.0
665,1,1,10,3,Pune,11950924.0
2207,3,3,19,2,Hyderabad,22131077.0
1634,3,2,12,0,Hyderabad,18630642.0
3174,6,5,8,0,Bengaluru,32916697.0
1843,5,5,7,3,Pune,22951705.0
882,2,1,20,1,Bengaluru,13668654.0
2046,5,4,9,1,Pune,22772591.0
1695,4,4,8,3,Bengaluru,22808923.0
2572,4,4,25,2,Chennai,24541400.0
2564,6,5,19,0,Chennai,26379627.0
1225,2,1,1,0,Delhi,18899010.0
1175,2,2,18,0,Hyderabad,13129124.0
1459,2,2,9,2,Delhi,19856437.0
1556,3,2,11,1,Bengaluru,19569232.0
2248,4,4,28,0,Delhi,24518354.0
1408,4,4,6,0,Pune,17883922.0
3349,6,5,3,2,Pune,33385689.0
2619,4,3,14,1,Pune,26116058.0
1609,4,3,17,0,Bengaluru,20131763.0
2904,7,5,9,3,Chennai,29633189.0
2344,6,5,2,1,Chennai,26157084.0
3097,5,5,23,2,Hyderabad,28329701.0
2691,6,5,24,1,Hyderabad,26129751.0
1119,2,1,27,2,Chennai,13508073.0
2543,5,4,13,2,Pune,26417875.0
1784,4,3,26,3,Pune,19860553.0
1966,4,4,11,1,Pune,22285784.0
1898,4,3,18,0,Hyderabad,19184253.0
2233,5,5,18,0,Pune,23877118.0
1377,4,4,24,0,Delhi,19043537.0
2826,7,5,4,0,Bengaluru,31695841.0
3161,6,5,21,1,Hyderabad,29510434.0
2326,4,4,0,2,Bengaluru,26825232.0
1656,3,2,13,0,Chennai,17568300.0
683,2,2,20,0,Pune,11110328.0
1086,3,3,22,3,Pune,14960669.0
875,1,1,12,1,Pune,12666116.0
939,3,2,28,1,Hyderabad,11237603.0
2348,4,3,21,0,Hyderabad,22322408.0
2534,4,3,23,1,Pune,24730283.0
1367,2,1,24,1,Hyderabad,14034537.0
2640,6,5,29,2,Hyderabad,26025156.0
730,1,1,0,0,Pune,12242368.0
1279,4,4,1,2,Chennai,19033199.0
2955,7,5,21,1,Bengaluru,30741050.0
3241,6,5,25,3,Pune,30804234.0
2179,5,4,25,2,Chennai,22343239.0
3266,7,5,23,0,Bengaluru,32844026.0
3062,6,5,13,1,Pune,30043909.0
1559,4,3,22,0,Chennai,17869308.0
1677,3,2,5,0,Chennai,19506882.0
2942,6,5,27,3,Chennai,27441347.0
2789,5,5,17,3,Pune,28393698.0
1558,3,3,1,3,Pune,20769710.0
1446,3,3,24,0,Pune,16431597.0
2054,3,2,12,2,Delhi,23784645.0
1914,5,5,18,1,Bengaluru,23052076.0
3471,7,5,18,2,Pune,33515393.0
2718,5,4,1,3,Chennai,28638870.0
2498,4,3,10,0,Chennai,24378192.0
1749,2,1,1,1,Delhi,21113804.0
1671,3,2,3,3,Delhi,22287069.0
3093,6,5,26,0,Chennai,28860192.0
942,1,1,1,2,Pune,14493860.0
2594,4,4,20,3,Hyderabad,24742237.0
1905,4,4,2,3,Bengaluru,23733506.0
2436,5,4,30,1,Bengaluru,25574325.0
2041,3,3,28,0,Hyderabad,20198750.0
1656,4,3,3,1,Chennai,20110820.0
3372,7,5,18,3,Hyderabad,30654694.0
2528,5,4,8,3,Hyderabad,25606542.0
2407,5,4,29,0,Pune,24081031.0
1399,2,1,29,1,Hyderabad,14882232.0
1172,3,2,29,3,Hyderabad,13243397.0
3173,5,4,10,2,Bengaluru,31088160.0
1184,2,1,23,0,Bengaluru,15024933.0
2448,5,4,27,1,Chennai,23534149.0
704,1,1,26,2,Chennai,10080925.0
1287,3,2,3,2,Pune,17757520.0
2703,4,4,28,1,Delhi,27288781.0
2555,5,4,8,1,Chennai,25913103.0
1577,3,2,12,2,Pune,18791699.0
1264,2,2,9,1,Hyderabad,14629612.0
2692,5,4,0,2,Bengaluru,29769803.0
2074,5,4,29,3,Bengaluru,23058004.0
1337,3,3,5,1,Delhi,20131684.0
924,1,1,23,3,Chennai,11898760.0
3343,7,5,9,1,Hyderabad,32341624.0
869,3,3,29,0,Delhi,14606536.0
3218,7,5,0,3,Pune,33037580.0
1145,2,1,5,2,Hyderabad,14901584.0
3036,5,4,16,3,Delhi,31946190.0
892,1,1,22,1,Chennai,11481137.0
2960,5,4,27,0,Pune,26520412.0
2428,4,4,25,1,Hyderabad,22920742.0
3135,6,5,3,2,Chennai,31682681.0
2874,5,4,3,1,Chennai,29463137.0
2961,7,5,7,3,Hyderabad,30231506.0
2036,3,3,5,0,Chennai,22101460.0
2651,5,4,3,0,Pune,28068849.0
1160,2,1,4,3,Pune,16499418.0
3200,7,5,13,0,Pune,32432838.0
812,2,1,12,1,Chennai,11971221.0
2911,6,5,27,0,Chennai,26551776.0
2719,5,5,29,2,Bengaluru,27930078.0
647,1,1,16,1,Hyderabad,9209412.0
1928,5,4,16,0,Bengaluru,23638601.0
2458,4,3,1,2,Delhi,29162632.0
1719,2,2,3,2,Hyderabad,18334628.0
761,2,1,9,2,Bengaluru,13728658.0
1093,1,1,30,2,Hyderabad,10960460.0
1207,3,2,16,1,Chennai,15314882.0
2265,5,4,7,0,Delhi,26665181.0
3446,7,5,12,1,Delhi,36034245.0
2102,5,5,9,3,Pune,24445551.0
1966,4,3,16,3,Delhi,23665139.0
2223,3,2,5,1,Chennai,22234525.0
1766,4,3,1,0,Bengaluru,22086378.0
2857,5,5,27,2,Pune,27170015.0
2401,5,5,24,0,Delhi,25941877.0
1522,3,2,10,2,Bengaluru,19140146.0
1733,2,2,27,3,Chennai,16857195.0
3183,6,5,27,0,Hyderabad,28225151.0
1081,3,2,30,1,Pune,13943643.0
1744,2,1,27,3,Pune,17635548.0
2045,5,5,17,3,Chennai,23255501.0
627,2,1,14,2,Bengaluru,11598383.0
2384,6,5,7,0,Chennai,25659067.0
1926,4,3,6,3,Hyderabad,21799041.0
2637,5,5,24,2,Delhi,28402101.0
3139,7,5,26,3,Pune,30462962.0
3369,7,5,30,0,Hyderabad,30230611.0
2751,6,5,13,2,Delhi,30050095.0
2951,6,5,30,3,Pune,28895868.0
2245,5,5,28,2,Delhi,25427618.0
2085,4,3,2,2,Delhi,25412579.0
1319,2,2,28,2,Chennai,15166146.0
2323,5,5,9,1,Delhi,26095010.0
1370,4,3,1,0,Chennai,17575637.0
773,3,2,25,0,Chennai,11074291.0
3429,6,5,12,0,Delhi,34830352.0
1317,4,4,18,2,Delhi,19512359.0
2706,5,5,6,3,Delhi,30799957.0
2686,4,3,3,0,Bengaluru,28290880.0
2740,6,5,19,3,Hyderabad,26693941.0
2970,6,5,22,1,Chennai,27890238.0
1728,3,2,8,0,Delhi,21912923.0
3155,7,5,1,1,Pune,32723306.0
2986,5,4,1,1,Bengaluru,31248931.0
3004,6,5,0,3,Chennai,31356393.0
2313,5,4,30,0,Bengaluru,23703820.0
2995,6,5,9,3,Pune,30024835.0
691,1,1,5,1,Chennai,11476648.0
1790,5,5,11,0,Chennai,21187647.0
2786,7,5,12,0,Hyderabad,27053218.0
2868,6,5,6,3,Chennai,30160402.0
2010,4,3,1,2,Hyderabad,22076833.0
3491,7,5,6,2,Delhi,36755880.0
1123,3,2,26,1,Bengaluru,15003773.0
2259,6,5,30,1,Chennai,23421201.0
2549,5,4,27,3,Bengaluru,28020587.0
3041,7,5,11,1,Pune,30331135.0
3091,6,5,27,0,Delhi,31981652.0
2176,3,3,22,1,Chennai,21775170.0
661,2,2,2,1,Bengaluru,13578275.0
1046,1,1,29,2,Delhi,15013979.0
1816,4,3,22,2,Hyderabad,19122319.0
2234,4,3,12,3,Bengaluru,25137797.0
1732,3,2,11,2,Pune,20498154.0
2494,5,4,11,0,Bengaluru,27044288.0
1793,3,2,29,1,Hyderabad,16758950.0
2364,5,4,4,3,Hyderabad,25632104.0
2862,6,5,20,1,Delhi,30829310.0
2733,5,4,21,2,Hyderabad,25384730.0
1058,2,1,28,0,Bengaluru,13599273.0
1904,4,3,23,0,Pune,20081154.0
3445,7,5,19,1,Chennai,31906007.0
2336,6,5,22,3,Delhi,27164848.0
822,2,1,21,1,Pune,11944185.0
3478,7,5,17,1,Bengaluru,34107963.0
2827,6,5,30,0,Bengaluru,27852689.0
1424,3,2,4,3,Pune,18937248.0
1574,3,2,16,3,Bengaluru,19859017.0
1826,4,4,4,1,Chennai,21206468.0
3178,5,5,13,1,Bengaluru,31214462.0
2263,5,4,22,2,Hyderabad,22466398.0
2076,5,4,1,0,Chennai,23523570.0
1865,5,4,5,2,Pune,22960825.0
2519,5,4,5,0,Hyderabad,27176257.0
2588,4,4,22,2,Delhi,27507668.0
1683,2,2,15,3,Pune,18960569.0
634,1,1,20,2,Delhi,13062568.0
3273,7,5,7,0,Bengaluru,33642686.0
2219,4,3,11,1,Delhi,25400337.0
3393,7,5,25,2,Delhi,34016521.0
2059,4,3,11,1,Delhi,24756529.0
2112,4,3,1,0,Hyderabad,21895814.0
3490,7,5,30,1,Pune,31878099.0
2332,6,5,5,2,Delhi,28389497.0
3417,7,5,4,3,Pune,34290731.0
967,1,1,15,1,Bengaluru,13909164.0
3101,7,5,9,0,Hyderabad,30309581.0
2707,6,5,2,3,Hyderabad,27985052.0
1273,4,3,0,3,Delhi,19906270.0
3365,7,5,6,3,Hyderabad,32291068.0
2354,5,4,30,0,Hyderabad,22141068.0
3370,7,5,21,2,Delhi,33260714.0
2569,5,4,27,2,Delhi,26794500.0
3195,5,4,7,3,Hyderabad,30774352.0
2872,7,5,16,1,Delhi,31932552.0
2407,6,5,3,1,Bengaluru,28385597.0
1059,2,1,20,0,Bengaluru,14317366.0
2774,6,5,15,1,Delhi,29758271.0
3453,6,5,16,0,Pune,32666725.0
3383,6,5,4,0,Delhi,35883921.0
2205,4,3,18,3,Hyderabad,22715925.0
1160,2,2,1,3,Bengaluru,17729624.0
3475,7,5,9,0,Bengaluru,34820187.0
2344,4,4,27,1,Delhi,25792361.0
2052,4,3,23,2,Hyderabad,21060626.0
1647,2,1,11,2,Pune,19030616.0
1008,2,2,10,0,Hyderabad,13435668.0
3365,7,5,11,1,Pune,34546754.0
2401,4,3,15,0,Hyderabad,23356175.0
1658,3,2,17,2,Pune,19050433.0
1625,3,2,0,0,Chennai,18591709.0
1218,3,3,15,0,Hyderabad,15587880.0
3240,7,5,30,1,Pune,30854410.0
2211,4,4,16,0,Chennai,22464718.0
1136,1,1,5,2,Pune,15400688.0
1957,5,4,29,2,Chennai,21327874.0
1967,4,3,7,3,Delhi,24620245.0
785,2,2,21,1,Chennai,11357091.0
1673,3,3,18,1,Hyderabad,17954742.0
2896,5,4,24,3,Delhi,29589176.0
1753,4,3,21,0,Chennai,18549101.0
1998,4,4,27,1,Chennai,20990151.0
1969,3,3,10,2,Pune,21090284.0
2663,5,4,25,1,Chennai,25637373.0
3350,7,5,14,3,Delhi,35330283.0
1838,4,4,2,1,Chennai,21575240.0
2942,6,5,29,1,Delhi,29818694.0
927,2,1,18,2,Pune,12528201.0
2354,4,3,10,1,Chennai,24656197.0
1654,2,1,20,2,Bengaluru,18511814.0
2236,5,4,28,2,Delhi,24737380.0
3254,6,5,7,0,Bengaluru,32857329.0
2957,6,5,4,0,Bengaluru,31239973.0
1708,2,2,10,0,Bengaluru,19364957.0
710,2,1,19,2,Bengaluru,13470793.0
835,3,2,2,2,Pune,15211042.0
2497,4,3,29,2,Delhi,25841905.0
3279,7,5,13,2,Bengaluru,33746098.0
1184,1,1,26,2,Pune,13677435.0
2009,4,4,19,2,Bengaluru,22886878.0
2556,4,4,9,3,Delhi,28158485.0
1739,3,3,16,2,Bengaluru,20611795.0
1008,2,1,20,1,Pune,13870933.0
968,1,1,4,0,Hyderabad,12405812.0
1344,3,3,11,1,Bengaluru,18235063.0
1263,2,1,24,1,Pune,15113684.0
3205,6,5,14,1,Chennai,30687378.0
708,1,1,23,0,Hyderabad,9718307.0
3361,7,5,7,3,Pune,32719448.0
2138,4,3,8,0,Chennai,22482809.0
2051,4,3,24,3,Chennai,20751568.0
1822,5,4,18,1,Pune,21760781.0
1694,3,2,9,0,Chennai,18036399.0
616,2,1,5,2,Delhi,13764798.0
2972,5,4,27,2,Hyderabad,26631907.0
2398,5,4,27,1,Chennai,23178735.0
1222,1,1,29,2,Bengaluru,13662894.0
2658,5,4,24,1,Pune,25907854.0
1990,5,4,28,0,Delhi,22916668.0
1560,3,3,22,0,Hyderabad,17005216.0
2954,7,5,3,0,Hyderabad,30434923.0
1896,3,2,3,3,Bengaluru,22658583.0
1517,3,3,23,0,Delhi,19184796.0
2048,5,4,11,1,Bengaluru,24155443.0
1325,2,1,8,0,Hyderabad,14795980.0
1404,2,1,25,2,Chennai,15797598.0
3275,7,5,9,2,Pune,32888251.0
1700,4,3,10,3,Pune,21077595.0
2178,5,4,28,0,Bengaluru,23253278.0
3089,6,5,19,3,Bengaluru,31745785.0
955,1,1,1,3,Delhi,15801216.0
1928,5,5,21,2,Pune,22023253.0
3251,7,5,10,3,Bengaluru,33767669.0
3178,7,5,22,0,Pune,31066084.0
3301,7,5,20,1,Delhi,33777208.0
1685,3,2,27,2,Delhi,19432377.0
1181,1,1,11,1,Delhi,16319844.0
1292,3,2,21,1,Bengaluru,17030374.0
3223,5,4,12,2,Pune,30429876.0
1103,3,2,22,2,Pune,15024500.0
2740,5,4,21,0,Chennai,26402676.0
2220,4,3,22,0,Pune,21813018.0
1314,3,2,21,1,Chennai,14824719.0
2602,5,5,11,2,Pune,27271523.0
603,1,1,18,1,Chennai,10416728.0
2830,6,5,8,1,Chennai,28965375.0
3205,7,5,6,1,Pune,32283547.0
1789,4,3,22,3,Pune,19558344.0
1809,5,4,20,2,Chennai,21103534.0
1577,4,4,4,1,Delhi,21755954.0
1949,3,2,24,3,Pune,20680433.0
2210,5,4,29,0,Hyderabad,20989836.0
2493,6,5,15,1,Hyderabad,25227786.0
2401,6,5,4,0,Bengaluru,27716104.0
766,2,2,10,3,Pune,12713145.0
1083,1,1,27,0,Delhi,14504772.0
961,2,2,14,0,Bengaluru,14375425.0
1974,5,4,17,3,Delhi,24866252.0
805,2,1,10,1,Delhi,15206770.0
624,1,1,8,2,Hyderabad,10347973.0
1823,5,5,28,3,Hyderabad,20223463.0
1856,4,3,27,3,Pune,20313385.0
1427,3,2,6,2,Pune,17893372.0
3288,7,5,18,1,Chennai,31846305.0
2469,4,4,10,0,Delhi,27155004.0
877,3,3,26,2,Hyderabad,11989006.0
1794,4,4,6,3,Pune,22742898.0
2422,5,4,1,1,Pune,26694973.0
1161,1,1,15,1,Hyderabad,12975941.0
2898,6,5,7,2,Bengaluru,30779662.0
1447,2,1,3,1,Hyderabad,16552318.0
806,3,2,21,2,Pune,12695347.0
832,2,1,5,3,Chennai,13031175.0
1553,3,3,17,1,Chennai,18021179.0
1478,3,3,7,3,Hyderabad,17684225.0
1941,5,4,20,2,Bengaluru,22443194.0
1411,4,3,23,1,Pune,16545382.0
1964,5,4,1,2,Hyderabad,22547265.0
3287,6,5,15,2,Hyderabad,30588201.0
2633,4,3,15,2,Chennai,25014817.0
962,2,1,15,2,Bengaluru,14203462.0
2970,6,5,18,0,Hyderabad,27513766.0
3289,7,5,5,2,Chennai,33785616.0
2441,6,5,10,2,Bengaluru,28555535.0
884,3,2,23,0,Bengaluru,14376401.0
3039,7,5,1,0,Hyderabad,30438151.0
3249,6,5,18,2,Hyderabad,30339532.0
2134,4,3,5,0,Chennai,23540016.0
2567,5,4,8,0,Hyderabad,25687878.0
1577,2,1,15,2,Delhi,19132442.0
1607,3,3,17,0,Delhi,20202592.0
1649,3,2,9,3,Delhi,21623660.0
1582,3,2,0,0,Hyderabad,18632651.0
2600,5,5,23,1,Hyderabad,25010076.0
1682,2,1,12,0,Chennai,17364183.0
2933,5,4,21,1,Bengaluru,29089435.0
2701,4,3,2,2,Hyderabad,27499342.0
768,2,2,24,1,Chennai,10613321.0
2491,5,4,10,3,Pune,27295134.0
